test_id,value,label
keluarga,0,Sangat Buruk
keluarga,1,Buruk
keluarga,2,Cukup
keluarga,3,Baik

depresi,0,Tidak Pernah
depresi,1,Beberapa Hari
depresi,2,Sering
depresi,3,Hampir Setiap Hari

kecemasan,0,Tidak Pernah
kecemasan,1,Jarang
kecemasan,2,Sering
kecemasan,3,Sangat Sering

stress,0,Tidak Pernah
stress,1,Jarang
stress,2,Sering
stress,3,Sangat Sering

trauma,0,Tidak Pernah
trauma,1,Jarang
trauma,2,Kadang-kadang
trauma,3,Sering

burnout,0,Tidak Pernah
burnout,1,Jarang
burnout,2,Kadang-kadang
burnout,3,Sering
